indice,nome,url_produto,url_imagem,arquivo_imagem
53,Carrinho Coletor de Lixo Com Pedal de 120 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/carrinhos-coletores-de-lixo/carrinho-coletor-de-lixo-de-120l-com-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/120-vermelho.jpg?fit=1000%2C1000&ssl=1,imagens\120-vermelho.jpg
54,Carrinho Coletor de Lixo Sem Pedal de 120 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/carrinhos-coletores-de-lixo/carrinho-coletor-de-lixo-de-120l-sem-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/Coletor-120L-Preto-03-.jpg?fit=1000%2C1000&ssl=1,imagens\Coletor-120L-Preto-03-.jpg
55,Carrinho Coletor de Lixo Com Pedal de 240 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/carrinhos-coletores-de-lixo/carrinho-coletor-de-lixo-de-240l-com-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/240-vermelho.jpg?fit=1000%2C1000&ssl=1,imagens\240-vermelho.jpg
56,Carrinho Coletor de Lixo sem Pedal de 240 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/carrinhos-coletores-de-lixo/carrinho-coletor-de-lixo-de-240l-sem-pedal,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/Coletor-240L-Amarelo-02-.jpg?fit=1000%2C1000&ssl=1,imagens\Coletor-240L-Amarelo-02-.jpg
57,Carrinho Coletor de Lixo 360 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/carrinhos-coletores-de-lixo/carrinho-coletor-de-lixo-de-360-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/04/Coletor-360L-Azul.png?fit=1080%2C1080&ssl=1,imagens\Coletor-360L-Azul.png
58,CARRO CUBA 180 LITROS COM ESTRUTURA METÁLICA,https://www.larplasticos.com.br/produtos/carros-cuba/carro-cuba-180-litros-com-estrutura-metalica,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/07/Carro-Cuba-180-Litros-Larplasticos-Com-Tampa.jpg?fit=480%2C480&ssl=1,imagens\Carro-Cuba-180-Litros-Larplasticos-Com-Tampa.jpg
59,CARRO CUBA 180 LITROS COM ESTRUTURA METÁLICA SEM TAMPA,https://www.larplasticos.com.br/produtos/carros-cuba/carro-cuba-180-litros-com-estrutura-metalica-sem-tampa,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/07/Carro-Cuba-180-Litros-Larplasticos-Sem-Tampa.jpg?fit=480%2C480&ssl=1,imagens\Carro-Cuba-180-Litros-Larplasticos-Sem-Tampa.jpg
60,CARRO CUBA 430 LITROS - Lar Plásticos - Qualidade que Transforma,https://www.larplasticos.com.br/produtos/carros-cuba/carro-cuba-430-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/07/2-1.jpg?fit=480%2C480&ssl=1,imagens\2-1.jpg
61,CARRO CUBA 600 LITROS,https://www.larplasticos.com.br/produtos/carros-cuba/carro-cuba-600-litros,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2021/02/carro-cuba-600-litros.jpg?fit=480%2C480&ssl=1,imagens\carro-cuba-600-litros.jpg
62,CARRO CUBA 600 LITROS COM ESTRUTURA METÁLICA,https://www.larplasticos.com.br/produtos/carros-cuba/carro-cuba-600-litros-com-estrutura-metalica,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2018/07/carro-cuba-600l-larplasticos6.jpg?fit=480%2C480&ssl=1,imagens\carro-cuba-600l-larplasticos6.jpg
63,CARRO CUBA 600 LITROS COM ESTRUTURA METÁLICA SEM TAMPA,https://www.larplasticos.com.br/produtos/carros-cuba/carro-cuba-600-litros-com-estrutura-metalica-sem-tampa,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2018/07/carro-cuba-600l-larplasticos2.jpg?fit=480%2C480&ssl=1,imagens\carro-cuba-600l-larplasticos2.jpg
64,Cestos de Lixo 100 Litros Redondo - LAR Plásticos - Qualidade Superior,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-100-litros-redondo,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2019/02/Cesto-100L-Branco-.jpg?fit=1000%2C1000&ssl=1,imagens\Cesto-100L-Branco-.jpg
65,Cestos de Lixo Sem Tampa 15 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-15-litros-sem-tampa,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/CESTO-15L-BR.png?fit=1000%2C1000&ssl=1,imagens\CESTO-15L-BR.png
66,Cestos de Lixo Com Tampa Basculante 15 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-15-litros-tampa-basculante,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/CESTO-15L-TP-BASC-BR.png?fit=1000%2C1000&ssl=1,imagens\CESTO-15L-TP-BASC-BR.png
67,Cestos de Lixo Com Tampa Flip-Top 15 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-15-litros-tampa-flip-top,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/CESTO-15L-TP-FLIP-BR.png?fit=1000%2C1000&ssl=1,imagens\CESTO-15L-TP-FLIP-BR.png
68,Cestos de Lixo Sem Tampa 23 Litros - LAR Plásticos,https://www.larplasticos.com.br/produtos/cestos-de-lixo/cesto-de-lixo-23-litros-sem-tampa,https://i0.wp.com/www.larplasticos.com.br/wp-content/uploads/2017/08/CESTO-23L-BR.png?fit=1000%2C1000&ssl=1,imagens\CESTO-23L-BR.png
